genres,name,discount,discounted_price,original_price
"['Shooter', 'Arcade']",Assault Suit Leynos,-80%,$3.99,$19.99
"['Shooter', 'Adventure']",Get Even,-85%,$4.49,$29.99
"['Adventure', 'Visual Novel']",Legend of Arcadieu Bundle,-50%,$3.99,$7.99
"['Shooter', 'Adventure', 'Indie']",Immortal Legacy: The Jade Cipher,-50%,$9.99,$19.99
"['Platform', 'Puzzle', 'Adventure', 'Indie']",Kid Ball Adventure,-40%,$2.99,$4.99
"['Puzzle', 'Arcade']",Pretty Girls Panic!,-60%,$2.39,$5.99
"['Role-playing (RPG)', 'Simulator', 'Adventure', 'Indie', 'Arcade', 'Visual Novel']",Arcade Spirits: The New Challengers,-30%,$13.99,$19.99
"['Real Time Strategy (RTS)', 'Simulator', 'Strategy', 'Indie']",8-Bit Hordes,-90%,$2.99,$29.99
"['Simulator', 'Adventure', 'Indie']",A Winter's Daydream,-50%,$2.99,$5.99
"['Adventure', 'Indie', 'Arcade', 'Visual Novel']",Arcade Spirits,-70%,$5.99,$19.99
"['Real Time Strategy (RTS)', 'Simulator', 'Strategy', 'Tactical', 'Indie']",8-Bit Invaders!,-90%,$2.99,$29.99
"['Shooter', 'Indie', 'Arcade']",Remote Life,-50%,$9.49,$18.99
"['Racing', 'Simulator', 'Sport', 'Arcade']",Racing Karts,-50%,$2.99,$5.99
"['Racing', 'Simulator', 'Sport', 'Arcade']",Racing Karts,-50%,$3.49,$6.99
"['Platform', ""Hack and slash/Beat 'em up"", 'Indie', 'Arcade']",Whisper Trip,-25%,$9.36,$12.49
"['Platform', 'Puzzle', 'Role-playing (RPG)', 'Adventure', 'Indie']",Rainbow Billy: The Curse of the Leviathan,-65%,$6.99,$19.99
"['Adventure', 'Indie', 'Visual Novel']",C14 Dating,-70%,$5.99,$19.99
"['Platform', ""Hack and slash/Beat 'em up"", 'Adventure', 'Indie']",Chenso Club,-33%,$6.69,$9.99
"['Racing', 'Arcade']",Mini Car Racing 2,-30%,$4.54,$6.49
"['Shooter', 'Arcade']",America Wild Hunting,-40%,$2.99,$4.99
"['Shooter', 'Platform', 'Role-playing (RPG)', 'Simulator', 'Indie', 'Arcade']",Stellatum,-60%,$3.99,$9.99
"['Puzzle', 'Simulator', 'Adventure', 'Indie']",Serial Cleaner,-80%,$2.99,$14.99
"['Adventure', 'Indie']",Bunker,-70%,$5.99,$19.99
"['Shooter', 'Arcade']",Hunter Shooting Camp,-40%,$5.99,$9.99
"['Role-playing (RPG)', 'Simulator', 'Strategy', 'Turn-based strategy (TBS)', 'Tactical', 'Adventure', 'Indie', 'Card & Board Game']",The Amazing American Circus,-65%,$6.99,$19.99
"['Adventure', 'Indie']",This Is the Zodiac Speaking,-70%,$3.89,$12.99
"['Role-playing (RPG)', 'Strategy', 'Turn-based strategy (TBS)', 'Tactical']",Tears of Avia,-50%,$7.49,$14.99
"['Simulator', 'Sport']",Grand Slam Tennis,-40%,$2.39,$3.99
"['Puzzle', 'Card & Board Game']",Delicious! Pretty Girls Mahjong Solitaire,-60%,$2.39,$5.99
"['Role-playing (RPG)', 'Adventure', 'Indie']",Smoke and Sacrifice,-80%,$3.99,$19.99
"[""Hack and slash/Beat 'em up"", 'Adventure', 'Indie']",Zombie Vikings,-80%,$2.39,$11.99
"['Point-and-click', 'Puzzle', 'Adventure', 'Indie']",The Plane Effect,-60%,$5.99,$14.99
"['Racing', 'Sport']",Warp Drive,-20%,$19.99,$24.99
"['Shooter', 'Arcade']",Ginga Force,-70%,$5.99,$19.99
"['Puzzle', 'Adventure']",Pnevmo-Capsula,-40%,$2.99,$4.99
"['Racing', 'Simulator', 'Sport']",Ducati: 90th Anniversary - The Official Videogame,-90%,$0.99,$9.99
['Adventure'],Repentless,-20%,$2.39,$2.99
"['Puzzle', 'Arcade']",Candy Match Kiddies,-40%,$2.99,$4.99
"['Platform', 'Puzzle', 'Adventure', 'Indie']",Flipping Death,-80%,$3.99,$19.99
"['Role-playing (RPG)', 'Simulator', 'Adventure', 'Indie']",Lone Survivor: The Director's Cut,-80%,$1.99,$9.99
"['Adventure', 'Indie']",Another Dawn,-40%,$11.99,$19.99
"['Simulator', 'Sport']",Ski Jumping Pro VR,-50%,$9.99,$19.99
['Sport'],Tennis World Tour: Legends Edition,-85%,$3.74,$24.99
"['Role-playing (RPG)', 'Strategy', ""Hack and slash/Beat 'em up"", 'Adventure', 'Indie']",Hell Warders,-90%,$1.49,$14.99
"['Role-playing (RPG)', 'Adventure', 'Indie']",Beasts of Maravilla Island,-45%,$5.49,$9.99
"['Platform', 'Adventure', 'Indie', 'Arcade']",Sigi: A Fart for Melusina,-60%,$1.99,$4.99
"['Platform', 'Puzzle', 'Simulator', 'Adventure', 'Indie', 'Arcade']",Freddy Spaghetti,-80%,$0.99,$4.99
['Music'],The Button Be Fields,-20%,$1.19,$1.49
"['Point-and-click', 'Puzzle', 'Simulator', 'Adventure', 'Indie']",Beat Cop,-90%,$1.49,$14.99
"['Platform', 'Puzzle', 'Adventure', 'Indie']",7th Sector,-60%,$7.99,$19.99
"['Platform', 'Puzzle', 'Adventure', 'Indie']",Suicide Guy: Sleepin' Deeply,-92%,$0.47,$5.99
"['Fighting', 'Indie']",Lunch A Palooza,-60%,$7.99,$19.99
"['Platform', 'Adventure', 'Indie', 'Arcade']",Jack N' Jill DX,-90%,$0.49,$4.99
"['Puzzle', 'Arcade']",Arcade Islands: Volume One,-80%,$3.99,$19.99
"['Simulator', 'Strategy', 'Indie']",Big Pharma,-75%,$7.49,$29.99
"['Puzzle', 'Simulator', 'Adventure', 'Indie']",The Infectious Madness of Doctor Dekker,-55%,$5.84,$12.99
"['Role-playing (RPG)', 'Simulator', 'Adventure', 'Indie']",Roommates,-80%,$3.99,$19.99
"['Adventure', 'Indie', 'Visual Novel']",Magi Trials,-50%,$3.99,$7.99
"['Shooter', 'Racing', 'Arcade']",Gearshifters,-60%,$11.99,$29.99
['Platform'],Within the Blade,-70%,$3.29,$10.99
"['Puzzle', 'Strategy', 'Indie', 'Card & Board Game']",Puzzletronics Digital Infinite,-50%,$1.99,$3.99
['Sport'],Crazy Strike Bowling EX,-50%,$6.49,$12.99
"['Simulator', 'Strategy']",Project Highrise: Architect's Edition,-80%,$5.99,$29.99
"['Platform', 'Adventure', 'Indie', 'Arcade']",Bloodroots,-55%,$8.99,$19.99
"['Simulator', 'Adventure']",Kansei: The Second Turn HD,-70%,$2.39,$7.99
"['Shooter', 'Simulator', 'Adventure', 'Indie']",Guns of Icarus Alliance,-75%,$1.24,$4.99
"['Platform', 'Puzzle', 'Adventure', 'Indie']",My Memory of Us,-75%,$5.74,$22.99
"['Simulator', 'Adventure', 'Indie', 'Visual Novel']",A Little Lily Princess,-70%,$4.49,$14.99
"['Fighting', 'Role-playing (RPG)', 'Adventure', 'Indie']",Neon City Riders,-50%,$9.99,$19.99
"['Music', 'Racing', 'Indie', 'Arcade']",Music Racer,-50%,$3.49,$6.99
"['Strategy', 'Turn-based strategy (TBS)', 'Tactical', 'Adventure']",Rebel Cops,-80%,$1.99,$9.99
"['Puzzle', 'Simulator', 'Strategy', 'Indie']",Reus,-90%,$1.49,$14.99
"['Point-and-click', 'Puzzle', 'Adventure', 'Indie']",Inspector Waffles,-75%,$3.49,$13.99
"['Puzzle', 'Card & Board Game']",Pretty Girls Klondike Solitaire,-60%,$2.39,$5.99
"['Real Time Strategy (RTS)', 'Role-playing (RPG)', 'Simulator', 'Strategy', 'Adventure', 'Indie', 'Card & Board Game']",Curious Expedition,-60%,$5.99,$14.99
"['Shooter', 'Puzzle', 'Strategy', 'Indie', 'Arcade']",Virtuous Western,-80%,$0.99,$4.99
"['Platform', 'Puzzle', 'Adventure', 'Indie']",What Lies in the Multiverse,-75%,$3.74,$14.99
"['Shooter', 'Indie']",Time Carnage,-70%,$5.99,$19.99
"['Point-and-click', 'Puzzle', 'Indie']",Covert Front: Episode 1 - All Quiet on the Covert Front,-30%,$13.99,$19.99
['Arcade'],Space Invasion,-40%,$2.99,$4.99
"['Point-and-click', 'Puzzle', 'Adventure', 'Indie']",Tohu,-50%,$7.49,$14.99
"['Music', 'Platform', 'Adventure', 'Indie']",Songbird Symphony,-80%,$3.39,$16.99
"['Simulator', 'Sport']",Extreme Snowboard,-40%,$5.39,$8.99
['Sport'],Am I Hero?,-80%,$1.99,$9.99
"['Simulator', 'Sport', 'Indie', 'Arcade']",Super Sports Blast,-70%,$7.49,$24.99
"['Sport', 'Arcade']",3D Air Hockey,-75%,$2.49,$9.99
"['Role-playing (RPG)', ""Hack and slash/Beat 'em up"", 'Indie']",Earth's Dawn,-80%,$5.99,$29.99
"['Role-playing (RPG)', 'Adventure', 'Indie']",Red Bow,-80%,$0.99,$4.99
"['Shooter', 'Indie', 'Arcade']",Super Destronaut: Land Wars,-70%,$1.49,$4.99
"['Adventure', 'Indie', 'Visual Novel']",Bai Qu: Hundreds of Melodies,-60%,$3.99,$9.99
['Sport'],Bocce,-40%,$4.79,$7.99
"['Simulator', 'Adventure', 'Indie']",Apico,-30%,$13.99,$19.99
"['Puzzle', 'Adventure']",DeMagnete VR,-25%,$14.99,$19.99
"['Point-and-click', 'Puzzle', 'Adventure', 'Indie']",Almost My Floor,-50%,$4.99,$9.99
"['Shooter', 'Adventure', 'Indie', 'Arcade']",Genetic Disaster,-75%,$3.74,$14.99
"['Fighting', 'Adventure', 'Arcade']",QUByte Classics: The Tale of Clouds and Wind,-30%,$3.49,$4.99
"['Platform', 'Puzzle', 'Adventure', 'Arcade']",Gravity Duck,-90%,$0.49,$4.99
"['Simulator', 'Sport', 'Arcade']",Tip Top: Don't Fall!,-40%,$5.99,$9.99
['Indie'],Junkyard Fury 2,-25%,$7.49,$9.99
"['Role-playing (RPG)', 'Adventure', 'Indie']",Decay of Logos,-70%,$5.99,$19.99
"['Adventure', 'Indie', 'Visual Novel']",Memories of East Coast,-70%,$1.49,$4.99
"['Fighting', ""Hack and slash/Beat 'em up"", 'Adventure', 'Arcade']",Stick it to the (Stick) Man,-80%,$1.59,$7.99
"['Role-playing (RPG)', 'Visual Novel']","Drowning, Drowning",-50%,$1.49,$2.99
"['Music', 'Platform', 'Adventure', 'Indie', 'Arcade']",Himno,-90%,$0.49,$4.99
"['Shooter', 'Platform', 'Arcade']",Hillbilly Doomsday,-50%,$2.49,$4.99
"['Puzzle', 'Strategy', 'Indie']",Amazing Superhero Squad,-50%,$3.49,$6.99
"['Puzzle', 'Adventure', 'Visual Novel']",My Aunt is a Witch,-60%,$3.99,$9.99
"['Puzzle', 'Role-playing (RPG)', 'Simulator', 'Strategy', 'Adventure', 'Indie']",Holy Potatoes! We're in Space?!,-70%,$4.49,$14.99
"['Shooter', 'Adventure', 'Indie', 'Arcade']",HellGunner,-60%,$1.99,$4.99
"['Simulator', 'Adventure', 'Indie', 'Visual Novel']",Blind Men,-90%,$0.49,$4.99
"['Role-playing (RPG)', 'Adventure', 'Indie']",Fallen Legion: Flames of Rebellion,-85%,$2.99,$19.99
['Role-playing (RPG)'],Divine Divinity,-50%,$2.49,$4.99
"['Fighting', 'Arcade']",Urban Street Fighting,-40%,$2.99,$4.99
"['Puzzle', 'Adventure', 'Indie']",Wind Peaks,-50%,$7.49,$14.99
"['Fighting', 'Platform', 'Strategy']",Fallen Knight,-50%,$7.49,$14.99
"['Point-and-click', 'Puzzle', 'Adventure', 'Indie']",Catie in MeowmeowLand,-50%,$7.49,$14.99
"['Racing', 'Sport', 'Indie', 'Arcade']",Trailblazers,-90%,$2.99,$29.99
"['Strategy', 'Turn-based strategy (TBS)', 'Indie']",1971 Project Helios,-55%,$6.74,$14.99
"['Point-and-click', 'Puzzle', 'Adventure', 'Indie']",Heal: Console Edition,-70%,$2.09,$6.99
"['Platform', 'Adventure', 'Indie', 'Arcade']",Kid Tripp,-80%,$0.79,$3.99
"['Role-playing (RPG)', 'Adventure', 'Indie']",Ravensword: Shadowlands,-70%,$2.09,$6.99
"['Fighting', 'Platform', 'Adventure']",QUByte Classics: The Samurai Collection,-40%,$5.99,$9.99
"['Racing', 'Sport', 'Indie']",Nippon Marathon,-80%,$2.99,$14.99
"['Platform', 'Role-playing (RPG)', ""Hack and slash/Beat 'em up"", 'Adventure']",Rogue Explorer,-60%,$3.19,$7.99
"['Role-playing (RPG)', 'Strategy', 'Indie']",Dragon Fang Z: The Rose & Dungeon of Time,-60%,$9.59,$23.99
"['Point-and-click', 'Puzzle', 'Adventure']",Clockwork Tales: Of Glass and Ink,-70%,$4.49,$14.99
"['Platform', 'Puzzle', 'Adventure', 'Indie', 'Arcade']",The Mooseman,-60%,$2.79,$6.99
"['Simulator', 'Indie']",The Garden Path,-70%,$1.49,$4.99
"['Fighting', 'Platform', 'Puzzle', 'Indie', 'Arcade']",10 Second Ninja X,-80%,$1.99,$9.99
"['Adventure', 'Indie']",Cave Digger 2D,-30%,$10.49,$14.99
"['Platform', 'Puzzle']",Giga Wrecker Alt.,-70%,$7.49,$24.99
"['Shooter', 'Platform', 'Adventure', 'Indie', 'Arcade']",Savage Halloween,-50%,$2.49,$4.99
"['Shooter', 'Strategy', 'Indie', 'Arcade']",Zero Strain,-80%,$1.99,$9.99
"['Role-playing (RPG)', 'Simulator', 'Adventure', 'Visual Novel']",Nicole,-80%,$3.79,$18.99
"['Role-playing (RPG)', 'Simulator', 'Adventure', 'Indie', 'Visual Novel']",Syrup and the Ultimate Sweet,-70%,$1.49,$4.99
"['Strategy', 'Turn-based strategy (TBS)', 'Indie']",Attack of the Earthlings,-50%,$9.99,$19.99
"['Point-and-click', 'Puzzle', 'Adventure', 'Indie']",Apocalipsis: The Tree of the Knowledge of Good and Evil,-70%,$1.49,$4.99
"['Platform', 'Strategy', 'Adventure', 'Indie', 'Arcade']",The Wizard and The Slug,-50%,$2.49,$4.99
"['Music', 'Puzzle', 'Strategy', 'Indie']",Active Neurons 3: Wonders of the World,-50%,$2.49,$4.99
"['Platform', 'Role-playing (RPG)', ""Hack and slash/Beat 'em up"", 'Indie']",Super Daryl Deluxe,-50%,$9.99,$19.99
"['Puzzle', 'Adventure', 'Indie']",Summertime Madness,-50%,$7.49,$14.99
"['Puzzle', 'Strategy', 'Adventure', 'Indie', 'Card & Board Game']",Archaica: The Path Of Light,-75%,$3.74,$14.99
"['Music', 'Platform', 'Puzzle', 'Adventure', 'Indie', 'Arcade']",Ovivo,-60%,$2.79,$6.99
"['Platform', 'Role-playing (RPG)', 'Adventure', 'Indie', 'Arcade']",The Swindle,-80%,$2.99,$14.99
"['Puzzle', 'Adventure', 'Indie']",Eclipse: Edge of Light,-43%,$8.54,$14.99
"['Shooter', 'Adventure', 'Indie', 'Arcade']",Titan Attacks!,-80%,$1.99,$9.99
"['Fighting', 'Adventure', 'Indie', 'Arcade']",Pato Box,-70%,$4.49,$14.99
"['Platform', 'Adventure', 'Indie', 'Arcade']",Castle on the Coast,-60%,$5.99,$14.99
"['Fighting', 'Puzzle', 'Indie', 'Arcade']",Metropolis: Lux Obscura,-60%,$3.19,$7.99
"['Platform', 'Racing', 'Sport', 'Indie']",Action Henk,-80%,$2.99,$14.99
['Indie'],Party Pumper,-70%,$5.09,$16.99
"['Role-playing (RPG)', 'Simulator', 'Strategy', 'Indie']",Holy Potatoes! A Weapon Shop?!,-70%,$4.49,$14.99
"['Simulator', 'Sport', 'Indie', 'Arcade']",Super Soccer Blast: America VS Europe,-70%,$9.99,$14.99
"['Racing', 'Simulator', 'Adventure', 'Indie']",Aery: A New Frontier,-40%,$5.99,$9.99
"['Simulator', 'Indie']",Aery: Calm Mind 2,-40%,$5.99,$9.99
"['Puzzle', 'Adventure', 'Indie']",Mask of Mists,-60%,$5.99,$14.99
"['Role-playing (RPG)', 'Simulator', 'Adventure', 'Visual Novel']",Jisei: The First Case HD,-80%,$0.99,$4.99
"['Platform', 'Adventure', 'Indie']",SuperEpic: The Entertainment War,-75%,$4.49,$17.99
['Arcade'],A Bird Hunt: Retro Bird Hunting Game,-75%,$2.49,$9.99
"['Shooter', 'Indie', 'Arcade']",Ultratron,-80%,$1.99,$9.99
"['Platform', 'Adventure', 'Indie', 'Arcade']",Miles & Kilo,-80%,$1.59,$7.99
"['Shooter', 'Adventure', 'Indie', 'Arcade']",Takotan,-80%,$1.39,$6.99
"['Shooter', 'Adventure', 'Indie', 'Arcade']",Takotan,-80%,$1.99,$9.99
"['Fighting', 'Indie', 'Arcade']",Iron Snout,-90%,$0.49,$4.99
"['Music', 'Adventure', 'Indie']",Klang 2,-60%,$5.99,$14.99
"['Shooter', 'Strategy', 'Adventure', 'Indie']",LA Cops,-50%,$2.49,$4.99
"['Simulator', 'Sport']",Real Pool,-75%,$2.49,$9.99
"['Shooter', 'Indie', 'Arcade']",Cake Invaders,-60%,$2.39,$5.99
"['Point-and-click', 'Adventure']",2064: Read Only Memories Integral,-50%,$9.99,$19.99
"['Role-playing (RPG)', 'Strategy', 'Turn-based strategy (TBS)', 'Tactical', 'Indie']",Warborn: Variable Armour Command,-85%,$3.74,$24.99
"['Shooter', 'Indie', 'Arcade']",Ultra Mission,-33%,$2.00,$2.99
"['Puzzle', 'Role-playing (RPG)', 'Adventure', 'Indie']",Moo Lander,-30%,$12.59,$17.99
"['Platform', 'Strategy']",SolSeraph,-80%,$2.99,$14.99
"['Platform', 'Puzzle', 'Adventure', 'Indie']",Stealth Inc 2: A Game of Clones,-80%,$1.99,$9.99
"['Role-playing (RPG)', 'Simulator', 'Adventure', 'Indie', 'Visual Novel']",Headliner: NoviNews,-40%,$8.39,$13.99
"['Platform', 'Adventure', 'Indie', 'Arcade']",Extreme Exorcism,-80%,$1.19,$5.99
"['Simulator', 'Adventure', 'Indie']",Aery: Dreamscape,-40%,$7.19,$11.99
"['Platform', 'Racing', 'Adventure', 'Indie', 'Arcade']",Balancelot,-80%,$1.59,$7.99
"['Puzzle', 'Card & Board Game']",I Love Food,-50%,$2.49,$4.99
['Indie'],Jump Stars,-80%,$1.99,$9.99
"['Racing', 'Simulator', 'Sport', 'Arcade']",Grand Prix Rock 'N Racing,-75%,$1.99,$7.99
"['Racing', 'Indie']",Coffin Dodgers,-70%,$3.59,$11.99
"['Shooter', 'Indie', 'Arcade']",InkSplosion,-90%,$0.49,$4.99
"['Puzzle', 'Adventure']",Megalan 11,-40%,$5.99,$9.99
"['Simulator', 'Sport', 'Arcade']",Table Tennis,-75%,$2.49,$9.99
"['Platform', 'Adventure', 'Indie', 'Arcade']",Behind Closed Doors: A Developer's Tale,-50%,$2.49,$4.99
"['Role-playing (RPG)', ""Hack and slash/Beat 'em up"", 'Adventure', 'Indie']",Moonfall Ultimate,-60%,$5.19,$12.99
"['Simulator', 'Indie']",TrainerVR,-50%,$4.99,$9.99
['Role-playing (RPG)'],Sega Ages 2500 Vol. 1: Phantasy Star Generation - 1,-80%,$1.99,$9.99
"['Simulator', 'Strategy', 'Indie', 'Arcade']","Good Pizza, Great Pizza",-60%,$1.99,$4.99
"['Shooter', 'Indie', 'Arcade']",Spacewing War,-50%,$3.49,$6.99
"['Platform', 'Puzzle', 'Adventure', 'Indie']",A Pixel Story,-80%,$2.39,$11.99
"['Simulator', 'Adventure', 'Indie']",ArtPulse,-90%,$1.29,$12.99
"['Platform', 'Adventure', 'Indie', 'Arcade']",Skatemasta Tcheco,-60%,$1.99,$4.99
"['Role-playing (RPG)', 'Adventure', 'Indie', 'Arcade']",bit Dungeon+,-20%,$5.59,$6.99
"['Adventure', 'Indie']",Swordbreaker the Game,-50%,$2.49,$4.99
"['Platform', 'Puzzle', 'Adventure', 'Indie']",Crazy Gravity,-60%,$1.99,$4.99
"['Platform', 'Puzzle', 'Adventure', 'Indie']",Saomi,-50%,$1.99,$3.99
"['Platform', 'Puzzle', 'Adventure', 'Arcade']",Twin Robots: Ultimate Edition,-70%,$2.39,$7.99
"['Role-playing (RPG)', 'Simulator', 'Adventure', 'Visual Novel']",Vera Blanc: Ghost in the Castle,-80%,$0.99,$4.99
"['Shooter', 'Adventure', 'Indie', 'Arcade']",UltraGoodness 2,-80%,$0.99,$4.99
"['Strategy', 'Indie']",Lost Artifacts: Frozen Queen,-50%,$4.49,$8.99
['Platform'],Paradox Error,-70%,$1.49,$4.99
"['Shooter', 'Indie', 'Arcade']",Delta Squad,-70%,$1.79,$5.99
"['Platform', 'Adventure', 'Indie', 'Arcade']",Tanuki Justice,-60%,$5.99,$14.99
"['Shooter', 'Platform', 'Racing', 'Indie', 'Arcade']",Speed Limit,-60%,$3.99,$9.99
"['Music', 'Puzzle', 'Indie', 'Card & Board Game']",Energy Cycle,-50%,$1.49,$2.99
"['Racing', 'Indie']",Super Pixel Racers,-80%,$2.99,$14.99
"['Platform', 'Adventure', 'Indie', 'Arcade']",Potata: fairy flower,-70%,$4.49,$14.99
"['Platform', 'Adventure', 'Indie', 'Arcade']",Aeon Drive,-50%,$7.24,$14.49
"['Strategy', 'Adventure', 'Indie']",Lord of the Click 3,-40%,$2.99,$4.99
"['Music', 'Puzzle', 'Strategy', 'Indie', 'Arcade']",Active Neurons 2,-80%,$0.99,$4.99
"['Platform', 'Role-playing (RPG)', 'Adventure', 'Indie']",Wuppo,-90%,$1.99,$19.99
"['Shooter', 'Simulator', 'Adventure', 'Indie', 'Arcade']",Aero Striker: World Invasion,-40%,$5.99,$9.99
"['Racing', 'Adventure', 'Indie']",Tinker Racers,-50%,$2.49,$4.99
"['Platform', 'Adventure', 'Indie']",Dark Sauce,-40%,$2.99,$4.99
"['Shooter', 'Racing', 'Indie', 'Arcade']",State of Anarchy: Master of Mayhem,-80%,$1.59,$7.99
"['Puzzle', 'Adventure', 'Indie']",Rune Lord,-40%,$4.19,$6.99
"['Shooter', 'Platform', 'Indie']",Queeny Army,-60%,$1.99,$4.99
"['Music', 'Puzzle', 'Indie']",Alveole,-50%,$2.49,$4.99
"['Platform', 'Puzzle', 'Simulator', 'Strategy']",Need a packet?,-70%,$2.09,$6.99
"['Puzzle', 'Indie']",Immortus Temporus,-60%,$1.99,$4.99
"['Shooter', 'Adventure', 'Arcade']",Fast Striker,-80%,$1.39,$6.99
['Arcade'],Round Invaders Rush 2,-20%,$1.19,$1.49
"['Role-playing (RPG)', 'Strategy', 'Turn-based strategy (TBS)', 'Indie', 'Card & Board Game']",Steam Tactics,-60%,$3.99,$9.99
"['Puzzle', 'Simulator', 'Sport', 'Arcade']",Super Ping Pong Trick Shot,-25%,$5.24,$6.99
"['Music', 'Puzzle', 'Arcade']",Chime Sharp,-40%,$5.99,$9.99
"['Puzzle', 'Adventure', 'Indie', 'Arcade']",CrossKrush,-80%,$0.99,$4.99
"['Puzzle', 'Adventure', 'Indie', 'Arcade']",Spy Chameleon,-70%,$2.99,$9.99
"['Platform', 'Puzzle', 'Indie']",Blow & Fly,-40%,$2.99,$4.99
"['Platform', 'Puzzle', 'Arcade']",The Adventures of Elena Temple: Definitive Edition,-40%,$2.99,$4.99
"['Puzzle', 'Tactical', 'Adventure', 'Indie']",Marble Duel,-25%,$8.99,$11.99
"['Shooter', 'Indie', 'Arcade']",Star Hunter DX,-60%,$3.99,$9.99
"['Platform', 'Puzzle', 'Indie']",Ball laB,-60%,$1.99,$4.99
"['Platform', 'Puzzle', 'Indie']",20 Bunnies,-60%,$1.99,$4.99
"['Shooter', 'Adventure', 'Indie', 'Arcade']",Ice Cream Surfer,-20%,$6.39,$7.99
"['Platform', 'Puzzle']",0 Degrees,-60%,$1.99,$4.99
"['Platform', 'Racing', 'Simulator', 'Adventure', 'Indie', 'Arcade']",Supermarket Shriek,-60%,$7.99,$19.99
"['Puzzle', 'Adventure', 'Indie']",Mina & Michi,-60%,$1.99,$4.99
"['Strategy', 'Adventure', 'Indie']",Crown of the Empire,-50%,$4.49,$8.99
"['Shooter', 'Strategy', 'Indie']",Hellfront: Honeymoon,-80%,$1.99,$9.99
"['Platform', 'Adventure', 'Indie']",Planet RIX-13,-70%,$1.49,$4.99
"['Shooter', 'Platform', 'Adventure', 'Indie', 'Arcade']",Gravity Heroes,-50%,$7.49,$14.99
"['Puzzle', 'Racing', 'Simulator', 'Adventure', 'Indie']",Aery: Broken Memories,-40%,$8.39,$13.99
"['Simulator', 'Strategy', 'Indie', 'Arcade']",Holy Potatoes! What the Hell?!,-70%,$4.49,$14.99
"['Strategy', 'Indie']",Quantum Replica,-60%,$3.99,$9.99
"['Platform', 'Role-playing (RPG)', 'Indie']",Rift Keeper,-70%,$2.99,$9.99
"['Puzzle', 'Strategy', 'Adventure', 'Indie', 'Arcade']",Bone Marrow,-70%,$1.49,$4.99
"['Role-playing (RPG)', 'Simulator', 'Adventure', 'Indie', 'Visual Novel']",A Summer with the Shiba Inu,-70%,$2.99,$9.99
"['Platform', 'Adventure', 'Indie', 'Arcade']",Bucket Knight,-50%,$2.49,$4.99
"['Adventure', 'Indie']",Dungeon Escape,-70%,$1.49,$4.99
['Adventure'],Breeder: Homegrown - Director's Cut,-70%,$1.49,$4.99
"['Simulator', 'Indie', 'Arcade']",Aircraft Evolution,-60%,$3.99,$9.99
"['Platform', 'Adventure', 'Indie', 'Arcade']",Yasai Ninja,-40%,$1.79,$2.99
"['Platform', 'Puzzle']",Lost in Shadow,-70%,$1.49,$4.99
"['Puzzle', 'Adventure', 'Indie']",Soul Axiom,-60%,$4.79,$11.99
"['Adventure', 'Indie', 'Visual Novel']",Dull Grey,-60%,$1.99,$4.99
"['Platform', 'Puzzle', 'Adventure', 'Indie']",Backpack Twins,-20%,$9.59,$11.99
"['Puzzle', 'Strategy', 'Adventure', 'Indie', 'Card & Board Game']",Dungeons & Bombs,-60%,$1.99,$4.99
['Indie'],Dogfight,-75%,$2.49,$9.99
"['Strategy', 'Indie']",Anomaly 2,-90%,$1.49,$14.99
"['Puzzle', 'Card & Board Game']",Mind Maze,-75%,$1.24,$4.99
"['Platform', 'Puzzle', 'Simulator', 'Strategy', 'Adventure', 'Arcade']",QUByte Classics: The Humans by Piko,-50%,$3.99,$7.99
['Music'],Toro,-40%,$1.79,$2.99
"['Real Time Strategy (RTS)', 'Role-playing (RPG)', 'Strategy']",Wanderjahr,-50%,$4.99,$9.99
"['Platform', 'Puzzle']",Glo,-70%,$1.49,$4.99
"['Platform', 'Puzzle', 'Strategy', 'Adventure', 'Indie']",Raven's Hike,-50%,$1.99,$3.99
"['Adventure', 'Indie']",Knee Deep,-70%,$4.49,$14.99
"['Puzzle', 'Adventure', 'Indie']",North,-60%,$1.19,$2.99
"['Platform', 'Adventure', 'Indie', 'Arcade']",Awesome Pea 2,-60%,$1.99,$4.99
"['Platform', 'Adventure', 'Indie', 'Arcade']",Awesome Pea,-60%,$2.39,$5.99
"['Puzzle', 'Adventure', 'Indie']",The Tower of Beatrice,-75%,$1.49,$5.99
"['Platform', 'Puzzle', 'Indie']",Explosive Candy World,-60%,$1.99,$4.99
"['Platform', 'Puzzle', 'Indie']",Mastho is Together,-60%,$1.99,$4.99
"['Platform', 'Puzzle', 'Adventure', 'Indie', 'Arcade']",Deep Ones,-70%,$1.49,$4.99
"['Point-and-click', 'Puzzle', 'Adventure', 'Indie']",Irony Curtain: From Matryoshka with Love,-75%,$4.99,$19.99
"[""Hack and slash/Beat 'em up""]",Spear of Destiny: The Kaiseki,-35%,$5.84,$8.99
['Platform'],Taimumari: Complete Edition,-40%,$2.99,$4.99
"['Shooter', 'Arcade']",In Extremis DX,-50%,$2.49,$4.99
"['Platform', 'Puzzle', 'Adventure', 'Indie']",Mugsters,-50%,$2.49,$4.99
"['Platform', 'Adventure', 'Indie', 'Arcade']",A Hole New World,-20%,$7.99,$9.99
"['Puzzle', 'Indie', 'Arcade']",Explosive Jake,-60%,$1.99,$4.99
"['Puzzle', 'Simulator', 'Adventure', 'Indie']",Norman's Great Illusion,-60%,$1.99,$4.99
