genres,name,discount,discounted_price,original_price
"['Simulator', 'Strategy', 'Indie']",PC Building Simulator,-75%,$4.99,$19.99
"['Platform', 'Adventure']",TY the Tasmanian Tiger 2: Bush Rescue HD,-50%,$14.99,$29.99
['Strategy'],Jurassic World Evolution 2: Deluxe Edition,-75%,$13.74,$54.99
"['Fighting', 'Role-playing (RPG)', 'Adventure']",Kingdoms of Amalur: Re-Reckoning,-70%,$11.99,$39.99
"['Platform', 'Simulator', 'Adventure', 'Indie']",Just Die Already,-66%,$5.09,$14.99
"['Role-playing (RPG)', ""Hack and slash/Beat 'em up"", 'Adventure']",Darksiders III,-80%,$7.99,$39.99
"['Role-playing (RPG)', ""Hack and slash/Beat 'em up"", 'Adventure']",Darksiders III: Blades & Whip Edition,-85%,$11.99,$79.99
"['Role-playing (RPG)', 'Simulator', 'Strategy']",Relayer,-80%,$11.99,$59.99
"['Strategy', 'Indie']",Five Nights at Freddy's 3,-50%,$3.99,$7.99
"['Adventure', 'Indie']",Soma,-90%,$2.99,$29.99
"['Simulator', 'Strategy', 'Adventure', 'Indie']",This War of Mine: Final Cut,-40%,$11.99,$19.99
"['Shooter', 'Simulator', 'Sport', 'Strategy', 'Adventure']",Hunting Simulator,-83%,$3.39,$19.99
"['Platform', 'Simulator', 'Strategy', 'Adventure', 'Indie']",Octodad: Dadliest Catch,-85%,$2.24,$14.99
"['Racing', 'Simulator', 'Sport']",Overpass,-80%,$5.99,$29.99
"['Racing', 'Simulator', 'Adventure', 'Indie']",Totally Reliable Delivery Service,-80%,$2.99,$14.99
"['Role-playing (RPG)', 'Adventure']",World of Final Fantasy: Maxima,-60%,$9.99,$24.99
"['Fighting', 'Strategy', 'Adventure']",Naruto Shippuden: Ultimate Ninja Storm 2,-80%,$3.99,$19.99
"['Platform', 'Adventure', 'Indie', 'Arcade']",New Super Lucky's Tale,-65%,$10.49,$29.99
"['Simulator', 'Sport']",Everybody's Golf,-50%,$9.99,$19.99
"['Puzzle', 'Adventure', 'Indie']",Amnesia: Collection,-90%,$2.99,$29.99
"['Role-playing (RPG)', 'Adventure']",Secret of Mana,-50%,$19.99,$39.99
"['Puzzle', 'Adventure', 'Indie']",Amnesia: Rebirth,-75%,$7.49,$29.99
"['Shooter', 'Simulator', 'Indie']",Kill It With Fire,-60%,$5.99,$14.99
"['Role-playing (RPG)', 'Adventure', 'Indie']",Children of Morta,-70%,$6.59,$21.99
"['Puzzle', 'Strategy', 'Adventure']",King's Quest VIII: The Mask of Eternity,-70%,$7.49,$24.99
"['Adventure', 'Indie']",Home Sweet Home: Episode 2,-67%,$9.89,$29.99
"['Shooter', 'Adventure']",Nerf Legends,-80%,$9.99,$49.99
"['Role-playing (RPG)', 'Adventure', 'Indie']",Hellpoint,-80%,$6.99,$34.99
['Indie'],First Class Trouble,-70%,$5.99,$19.99
"['Puzzle', 'Role-playing (RPG)', 'Simulator', 'Strategy', 'Adventure', 'Indie']",Forager,-65%,$6.99,$19.99
"['Role-playing (RPG)', 'Adventure', 'Indie']",Motto!? Fushigi no Gensoukyou: Under the Moonlight,-80%,$3.99,$19.99
"['Shooter', 'Adventure', 'Indie']",Succubus With Guns,-30%,$6.99,$9.99
"['Role-playing (RPG)', 'Strategy', 'Tactical', 'Adventure']",Empire of Sin,-75%,$9.99,$39.99
"['Role-playing (RPG)', 'Adventure']",Sword Art Online: Hollow Realization - Deluxe Edition,-85%,$12.74,$84.99
['Simulator'],Universal Flight Simulator,-40%,$5.99,$9.99
"['Shooter', 'Adventure']",Wolfenstein: The Old Blood,-75%,$4.99,$19.99
['Shooter'],Until Dawn: Rush of Blood,-60%,$5.99,$14.99
"['Role-playing (RPG)', 'Adventure', 'Indie']",Pathologic 2,-80%,$6.99,$34.99
['Shooter'],Killzone: Shadow Fall,-50%,$9.99,$19.99
